tD,P50_total,P50_trapped,P50_supercritical,P50_dissolved,f_trapped,f_supercritical,f_dissolved
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0847457627118644,0.09380144352887845,0.009387754732630399,0.0678238262662571,0.01581875772987565,0.10008113286380514,0.7230573828576138,0.1686408773123578
0.1694915254237288,0.1897313332388076,0.0184380137798728,0.14741438208792795,0.024145379642362352,0.09717959319173484,0.7769638233785197,0.12726089692297415
0.2542372881355932,0.2818723277927463,0.026386324689614,0.22397317918055482,0.03127448124207055,0.09361090851392552,0.79459087358599,0.11095264826799847
0.3389830508474576,0.37291513338685867,0.0338422864646035,0.3026949679656591,0.03625585543718815,0.09075063850920695,0.8116993408568544,0.09722280538177212
0.423728813559322,0.46347299865343494,0.040886617398369046,0.38127104500109493,0.04138783447877585,0.08821790593445615,0.822639174469348,0.08929934343321666
0.5084745762711864,0.5581045547042798,0.04804554663984035,0.4630426195863112,0.04712745227495835,0.0860869997115469,0.8296700245201571,0.08444197754295259
0.5932203389830508,0.6484304659984015,0.054384126157361545,0.5423854937558287,0.0513528318948271,0.08387040555478097,0.8364589916679914,0.07919558778867386
0.6779661016949152,0.7380646459169864,0.06090572873179885,0.6217136383189068,0.05566295919316125,0.08252085920756758,0.8423566170771901,0.07541745767270083
0.7627118644067796,0.8285350767316852,0.06753307269500261,0.7011431217825361,0.059829250030376,0.08150900860033555,0.8462443431463746,0.07221088365550424
0.847457627118644,0.9224515168468226,0.0736805274873855,0.784667333030102,0.06402482889422595,0.07987468841641084,0.8506326009547879,0.06940725634348713
0.9322033898305084,1.0117048733466592,0.0796528579818507,0.8641124786248836,0.0680184603126191,0.07873131787767694,0.8541151687511905,0.06723152384115548
1.0169491525423728,1.090241747371568,0.08987204436137615,0.9292900074145153,0.0708522753376329,0.08243313428241585,0.8523705954710626,0.06498767407178141
1.1016949152542372,1.1048529973867047,0.1045133115625413,0.9284115695425827,0.0717461884569009,0.0945947667334436,0.8403032545854908,0.0649373162100309
1.1864406779661016,1.1140239882139917,0.11396686996811115,0.9277607589775316,0.0722590153740207,0.10230198916167267,0.8328014197117262,0.06486306950164213
1.271186440677966,1.1221204020762903,0.12193042679657176,0.9273709749175301,0.07264916952899825,0.10866073424113895,0.8264451597186808,0.06474275790242606
1.3559322033898304,1.1281359768262273,0.1267445454892681,0.9269296088740318,0.0730907497620764,0.11234864244453684,0.8216470602078951,0.06478895387034975
1.4406779661016949,1.1330189600989478,0.13260642379760085,0.9268067973483535,0.0732389532578553,0.11703813304767662,0.8179976063837576,0.06464053633441338
1.5254237288135593,1.1374945841694353,0.13706137075488725,0.926753755877734,0.0732856383634655,0.12049408644434592,0.8147324556753138,0.0644272415740568
1.6101694915254237,1.1418380298035964,0.14183049567316347,0.9264988730873185,0.07351007116452254,0.12421244692433238,0.8114100677192214,0.06437872031391945
1.694915254237288,1.1463656760741332,0.14615305622984637,0.9262405183185992,0.07376858825134561,0.12749252640777334,0.807979981998956,0.064349962486643
1.7796610169491525,1.1504224782675903,0.14880228685250418,0.9260989886532209,0.073910415056211,0.12934577484663204,0.8050077307667216,0.06424632380924264
1.8644067796610169,1.1529550349460955,0.15207993021412786,0.9260115484865383,0.07405754353337544,0.1319044764145881,0.8031636277383813,0.06423281159168352
1.9491525423728813,1.1558826526174304,0.15505582607875268,0.9258132497562441,0.07431458611864761,0.13414495470421464,0.8009578201210934,0.06429250058417821
2.0338983050847457,1.158518330532234,0.1579024659094686,0.9256455047698856,0.07445964530556425,0.1362969076517993,0.7989908147112662,0.06427144339732355
2.11864406779661,1.161124986973281,0.16000524555445483,0.9255534554499911,0.07448401668085056,0.13780191396237412,0.7971178519399905,0.0641481472851678
2.2033898305084745,1.1626948264898034,0.16202395132595415,0.9254692700623421,0.07451770546150625,0.13935208761107795,0.7959691992922602,0.06409051090945038
2.288135593220339,1.1644843842416912,0.16381161920089288,0.9254253573842082,0.07476423372246144,0.14067309224379726,0.7947082587860055,0.0642037237546536
2.3728813559322033,1.1658892886662482,0.16576661238407225,0.9252310770140346,0.074969992373417,0.14218040597465786,0.7935839929299623,0.06430283998850443
2.4576271186440675,1.1682024183592903,0.16807973662443704,0.9250862405493208,0.07511512719676394,0.14387894938661455,0.7918886538932013,0.06429975320737752
2.542372881355932,1.170217855975419,0.17009519636683135,0.9247893506534297,0.07554129959101535,0.14535344465843142,0.7902710986088861,0.06455319341204971
2.6271186440677967,1.1721926285119715,0.17149585970225284,0.9244862747512602,0.07585670217180751,0.14630347907916516,0.7886811879416443,0.06471351237560934
2.711864406779661,1.1746988986291806,0.1739288937983719,0.9241380519968936,0.0762052757555042,0.14806253245094456,0.786702067291729,0.0648721777507685
2.796610169491525,1.1769765614818284,0.17620654392452129,0.923891630575976,0.07645188981196585,0.14971117496398995,0.7849702881192339,0.06495617016851377
2.8813559322033897,1.1796854984256113,0.17891550945575518,0.9236066500102273,0.07673688202004075,0.15166373554183116,0.7829261707826852,0.06504859313982626
2.9661016949152543,1.1825105575950428,0.18174053027128567,0.923391259061355,0.0769524217846343,0.15369040817775406,0.7808735855511706,0.06507546278583592
3.0508474576271185,1.1843294383254621,0.18443419557556756,0.9230930447601791,0.0772507245773606,0.15572879437696097,0.7794225279626179,0.06522739541675697
3.1355932203389827,1.1857426818777625,0.18586910367723344,0.9228120602578738,0.0775318376122491,0.15675332137229633,0.7782565934090293,0.0653867308626087
3.2203389830508473,1.1872993228278954,0.1874257558367617,0.9225910339926153,0.0777530891484524,0.1578588922213425,0.7770500801728741,0.06548735239169598
3.305084745762712,1.1886888839520902,0.18881531900239285,0.9224177385468436,0.07792682233300495,0.15884334542999143,0.7759959321568127,0.06555695387166233
3.389830508474576,1.189893778962401,0.19002016985356418,0.9222235472740306,0.07812139068278806,0.15969506960466978,0.7750469525760683,0.06565408783875708
3.4745762711864403,1.1912078558064931,0.19133428798426516,0.921967434594375,0.07837793438115145,0.16062208375441292,0.773976959688675,0.06579702610178524
3.559322033898305,1.1924467773297702,0.1925732071250591,0.9217095601727445,0.07863602733610164,0.16149417381653347,0.7729565609936203,0.06594510449530522
3.6440677966101696,1.1947424760338177,0.19373761447777343,0.9213384922326953,0.0790072193570713,0.16215847210933984,0.7711607402553053,0.06612907881148689
3.7288135593220337,1.1969262391518476,0.19456557907733246,0.9211918627730284,0.07915396542153719,0.16255436025464973,0.7696312710345402,0.06613103032783907
3.813559322033898,1.199091201627195,0.19662410143509423,0.9210481560938601,0.07928354032349125,0.16397760334515898,0.7681218533202279,0.066119691492942
3.8983050847457625,1.2000791228700127,0.19887442527209215,0.9208789207788657,0.0794529289134346,0.1657177610060244,0.7673485049690438,0.06620640872696908
3.983050847457627,1.2013674879969898,0.19957749335384406,0.9206233853614304,0.0797086312288305,0.16612526587230578,0.76631288474134,0.06634825066035932
4.067796610169491,1.2024127446906632,0.19994202354968105,0.9204554371344094,0.07987666458734875,0.16628401888830513,0.7655070533797518,0.06643032098590912
4.1525423728813555,1.2027124841791268,0.20027377281413833,0.9202395136743347,0.0800678588146165,0.16651841188031638,0.765136743635296,0.06657273443807668
4.23728813559322,1.2030711683751716,0.20090039981072175,0.9201393441877612,0.08019300802647565,0.16698962213686097,0.764825363931272,0.06665691119070012
4.322033898305085,1.2035068321653912,0.20187909295968653,0.9200622691753317,0.0802702550460993,0.16774237383967208,0.7644844587379066,0.06669696664843545
4.406779661016949,1.2039670214387987,0.20287753288462745,0.9199587827425719,0.0803737933565587,0.16850754985147268,0.7641062972332721,0.06675747086536318
4.491525423728813,1.2042869182218356,0.20374203256712559,0.9197940633082085,0.0805385854182396,0.16918064082931047,0.763766548810736,0.06687657583888493
4.576271186440678,1.204541242104375,0.20456676721590944,0.919579285287758,0.08070151653966826,0.16982960820712475,0.7634269821108169,0.06699771972828421
4.661016949152542,1.2052174239500273,0.2053439203532246,0.9193998963469165,0.0808629307516638,0.17037915007918017,0.7628498211830019,0.0670940604946122
4.745762711864407,1.205986415631746,0.2061128730344955,0.919236344951747,0.08100518317713395,0.17090812165286703,0.7622277772260085,0.06716923352299957
4.830508474576271,1.2062934059148043,0.20641983489669707,0.9191873025393358,0.08102701462197365,0.17111909414787574,0.7619931419937268,0.0671702375431009
4.915254237288135,1.2062934059148043,0.20641983489669707,0.9191873025393358,0.08102701462197365,0.17111909414787574,0.7619931419937268,0.0671702375431009
5.0,1.2062934059148043,0.20641983489669707,0.9191873025393358,0.08102701462197365,0.17111909414787574,0.7619931419937268,0.0671702375431009
